CODGEO	REG	DEP	ARR	CV	ZE1990	EPCI	LIBGEO	PSDC99	PSDC90	SUPERF	NAIS9099	DEC9099	MENP99	LOG99	RS99	RNETFF06	NBFF06	NBFFI06	MEDRFUC06	EMPTOT99	EMPSA99	EMPTOT90	DEFMT07	ETTOT06	ETIND06	ETCOS06	ETCOM06	ETSER06	ETTEF106	ETTEFP1006
69172	82	69	692	6953	8202	246900674	Salles-Arbuissonnas-en-Beaujolais	629	507	4.35	73	50	223	271	31	8656852	338	210	18723	129	85	184	17	25	1	9	2	13	11	2
69173	82	69	691	6903	8211	246900625	Sarcey	784	690	9.99	89	55	294	344	29	10518176	466	271	17229	316	220	196	10	54	10	10	11	23	19	7
69174	82	69	692	6929	8211	246900708	Les Sauvages	575	561	12.55	52	24	183	238	40	6062926	366	153	15617	284	248	296	6	29	6	4	3	16	12	4
69175	82	69	691	6903	8211	246900625	Savigny	1797	1535	21.42	199	86	619	695	43	22944588	916	559	18523	753	648	472	28	130	27	30	19	54	45	21
69176	82	69	691	6924	8211	246900740	Soucieu-en-Jarrest	3214	2654	14.2	359	161	1126	1224	44	46666306	1671	1140	20065	619	451	420	48	167	19	30	34	84	61	14
69177	82	69	691	6903	8211	246900625	Sourcieux-les-Mines	1762	1349	9.96	198	80	607	671	45	25680157	910	634	19926	185	113	108	34	56	3	9	10	34	21	2
69178	82	69	691	6927	8211	246900690	Souzy	578	615	5.09	64	46	227	297	37	7487973	360	212	17988	196	152	80	7	45	8	7	14	16	15	4
69179	82	69	691	6908	8211	246900740	Saint-Andéol-le-Château	1379	1158	9.95	160	60	475	494	4	19571120	762	490	19740	215	163	164	31	65	9	11	9	36	29	3
69180	82	69	691	6924	8211	246900740	Saint-André-la-Côte	182	185	4.77	21	7	66	91	25	2691625	116	52	16700	28	12	52	5	7	0	1	1	5	4	0
69181	82	69	692	6929	8211	246900708	Saint-Appolinaire	110	101	5.73	10	16	45	105	40	1435086	81	45		36	24	8		9	1	1	1	6	3	0
69182	82	69	692	6923	8202	246900682	Saint-Bonnet-des-Bruyères	384	412	21.2	25	47	161	243	56	3013394	204	82	12834	104	59	100		16	2	4	3	7	7	1
69183	82	69	692	6909	8202	246900617	Saint-Bonnet-le-Troncy	273	265	15.65	19	28	110	203	76	2807473	157	75	14691	48	28	36		13	1	3	1	8	3	0
69184	82	69	691	6924	8211	246900740	Sainte-Catherine	856	770	13.76	75	48	324	389	39	10167687	478	250	16545	164	108	124	16	38	3	7	5	23	16	2
